taskId,label,o_Efficiency,o_Mass flow,c_Design,o_Pressure ratio,c_Speed,c_Factor Name,c_Factor Value,s_rotor1,s_rotor2,s_rotor3,s_stator1,s_stator2,s_stator3,c2d_rotor1_exit,c2d_rotor2_exit,c2d_rotor3_exit,c2d_stator1_exit,c2d_stator2_exit,c2d_stator3_exit
.\data\task_59,Design C 80% p2_150000,93.0589,36.67851,Design C,1.6359,0.8,GAC,1.04,.\data\task_59\rotor1\Mis_line1d_mid_rotor1_task_59.json,.\data\task_59\rotor2\Mis_line1d_mid_rotor2_task_59.json,.\data\task_59\rotor3\Mis_line1d_mid_rotor3_task_59.json,.\data\task_59\stator1\Mis_line1d_mid_stator1_task_59.json,.\data\task_59\stator2\Mis_line1d_mid_stator2_task_59.json,.\data\task_59\stator3\Mis_line1d_mid_stator3_task_59.json,.\data\task_59\rotor1\ent_area2d_exit_rotor1_task_59.json,.\data\task_59\rotor2\ent_area2d_exit_rotor2_task_59.json,.\data\task_59\rotor3\ent_area2d_exit_rotor3_task_59.json,.\data\task_59\stator1\ent_area2d_exit_stator1_task_59.json,.\data\task_59\stator2\ent_area2d_exit_stator2_task_59.json,.\data\task_59\stator3\ent_area2d_exit_stator3_task_59.json
.\data\task_60,Design D 100% p2_140000,83.51631,51.88483,Design D,1.71209,1,DA,0.96,.\data\task_60\rotor1\Mis_line1d_mid_rotor1_task_60.json,.\data\task_60\rotor2\Mis_line1d_mid_rotor2_task_60.json,.\data\task_60\rotor3\Mis_line1d_mid_rotor3_task_60.json,.\data\task_60\stator1\Mis_line1d_mid_stator1_task_60.json,.\data\task_60\stator2\Mis_line1d_mid_stator2_task_60.json,.\data\task_60\stator3\Mis_line1d_mid_stator3_task_60.json,.\data\task_60\rotor1\ent_area2d_exit_rotor1_task_60.json,.\data\task_60\rotor2\ent_area2d_exit_rotor2_task_60.json,.\data\task_60\rotor3\ent_area2d_exit_rotor3_task_60.json,.\data\task_60\stator1\ent_area2d_exit_stator1_task_60.json,.\data\task_60\stator2\ent_area2d_exit_stator2_task_60.json,.\data\task_60\stator3\ent_area2d_exit_stator3_task_60.json
.\data\task_61,Design D 100% p2_150000,86.6899,51.85881,Design D,1.787169,1,GAC,1,.\data\task_61\rotor1\Mis_line1d_mid_rotor1_task_61.json,.\data\task_61\rotor2\Mis_line1d_mid_rotor2_task_61.json,.\data\task_61\rotor3\Mis_line1d_mid_rotor3_task_61.json,.\data\task_61\stator1\Mis_line1d_mid_stator1_task_61.json,.\data\task_61\stator2\Mis_line1d_mid_stator2_task_61.json,.\data\task_61\stator3\Mis_line1d_mid_stator3_task_61.json,.\data\task_61\rotor1\ent_area2d_exit_rotor1_task_61.json,.\data\task_61\rotor2\ent_area2d_exit_rotor2_task_61.json,.\data\task_61\rotor3\ent_area2d_exit_rotor3_task_61.json,.\data\task_61\stator1\ent_area2d_exit_stator1_task_61.json,.\data\task_61\stator2\ent_area2d_exit_stator2_task_61.json,.\data\task_61\stator3\ent_area2d_exit_stator3_task_61.json
.\data\task_62,Design D 100% p2_160000,90.11619,51.64661,Design D,1.866713,1,DA,1.04,.\data\task_62\rotor1\Mis_line1d_mid_rotor1_task_62.json,.\data\task_62\rotor2\Mis_line1d_mid_rotor2_task_62.json,.\data\task_62\rotor3\Mis_line1d_mid_rotor3_task_62.json,.\data\task_62\stator1\Mis_line1d_mid_stator1_task_62.json,.\data\task_62\stator2\Mis_line1d_mid_stator2_task_62.json,.\data\task_62\stator3\Mis_line1d_mid_stator3_task_62.json,.\data\task_62\rotor1\ent_area2d_exit_rotor1_task_62.json,.\data\task_62\rotor2\ent_area2d_exit_rotor2_task_62.json,.\data\task_62\rotor3\ent_area2d_exit_rotor3_task_62.json,.\data\task_62\stator1\ent_area2d_exit_stator1_task_62.json,.\data\task_62\stator2\ent_area2d_exit_stator2_task_62.json,.\data\task_62\stator3\ent_area2d_exit_stator3_task_62.json
.\data\task_63,Design D 100% p2_170000,91.55427,50.91265,Design D,1.945883,1,GAC,0.96,.\data\task_63\rotor1\Mis_line1d_mid_rotor1_task_63.json,.\data\task_63\rotor2\Mis_line1d_mid_rotor2_task_63.json,.\data\task_63\rotor3\Mis_line1d_mid_rotor3_task_63.json,.\data\task_63\stator1\Mis_line1d_mid_stator1_task_63.json,.\data\task_63\stator2\Mis_line1d_mid_stator2_task_63.json,.\data\task_63\stator3\Mis_line1d_mid_stator3_task_63.json,.\data\task_63\rotor1\ent_area2d_exit_rotor1_task_63.json,.\data\task_63\rotor2\ent_area2d_exit_rotor2_task_63.json,.\data\task_63\rotor3\ent_area2d_exit_rotor3_task_63.json,.\data\task_63\stator1\ent_area2d_exit_stator1_task_63.json,.\data\task_63\stator2\ent_area2d_exit_stator2_task_63.json,.\data\task_63\stator3\ent_area2d_exit_stator3_task_63.json
.\data\task_64,Design D 100% p2_180000,92.37103,49.88363,Design D,2.025576,1,DA,1,.\data\task_64\rotor1\Mis_line1d_mid_rotor1_task_64.json,.\data\task_64\rotor2\Mis_line1d_mid_rotor2_task_64.json,.\data\task_64\rotor3\Mis_line1d_mid_rotor3_task_64.json,.\data\task_64\stator1\Mis_line1d_mid_stator1_task_64.json,.\data\task_64\stator2\Mis_line1d_mid_stator2_task_64.json,.\data\task_64\stator3\Mis_line1d_mid_stator3_task_64.json,.\data\task_64\rotor1\ent_area2d_exit_rotor1_task_64.json,.\data\task_64\rotor2\ent_area2d_exit_rotor2_task_64.json,.\data\task_64\rotor3\ent_area2d_exit_rotor3_task_64.json,.\data\task_64\stator1\ent_area2d_exit_stator1_task_64.json,.\data\task_64\stator2\ent_area2d_exit_stator2_task_64.json,.\data\task_64\stator3\ent_area2d_exit_stator3_task_64.json
.\data\task_65,Design D 100% p2_190000,92.83365,48.55642,Design D,2.108516,1,GAC,1.04,.\data\task_65\rotor1\Mis_line1d_mid_rotor1_task_65.json,.\data\task_65\rotor2\Mis_line1d_mid_rotor2_task_65.json,.\data\task_65\rotor3\Mis_line1d_mid_rotor3_task_65.json,.\data\task_65\stator1\Mis_line1d_mid_stator1_task_65.json,.\data\task_65\stator2\Mis_line1d_mid_stator2_task_65.json,.\data\task_65\stator3\Mis_line1d_mid_stator3_task_65.json,.\data\task_65\rotor1\ent_area2d_exit_rotor1_task_65.json,.\data\task_65\rotor2\ent_area2d_exit_rotor2_task_65.json,.\data\task_65\rotor3\ent_area2d_exit_rotor3_task_65.json,.\data\task_65\stator1\ent_area2d_exit_stator1_task_65.json,.\data\task_65\stator2\ent_area2d_exit_stator2_task_65.json,.\data\task_65\stator3\ent_area2d_exit_stator3_task_65.json
.\data\task_66,Design D 90% p2_110000,74.94646,46.84214,Design D,1.439822,0.9,DA,0.96,.\data\task_66\rotor1\Mis_line1d_mid_rotor1_task_66.json,.\data\task_66\rotor2\Mis_line1d_mid_rotor2_task_66.json,.\data\task_66\rotor3\Mis_line1d_mid_rotor3_task_66.json,.\data\task_66\stator1\Mis_line1d_mid_stator1_task_66.json,.\data\task_66\stator2\Mis_line1d_mid_stator2_task_66.json,.\data\task_66\stator3\Mis_line1d_mid_stator3_task_66.json,.\data\task_66\rotor1\ent_area2d_exit_rotor1_task_66.json,.\data\task_66\rotor2\ent_area2d_exit_rotor2_task_66.json,.\data\task_66\rotor3\ent_area2d_exit_rotor3_task_66.json,.\data\task_66\stator1\ent_area2d_exit_stator1_task_66.json,.\data\task_66\stator2\ent_area2d_exit_stator2_task_66.json,.\data\task_66\stator3\ent_area2d_exit_stator3_task_66.json
.\data\task_67,Design D 90% p2_120000,80.36286,46.81968,Design D,1.495827,0.9,GAC,1,.\data\task_67\rotor1\Mis_line1d_mid_rotor1_task_67.json,.\data\task_67\rotor2\Mis_line1d_mid_rotor2_task_67.json,.\data\task_67\rotor3\Mis_line1d_mid_rotor3_task_67.json,.\data\task_67\stator1\Mis_line1d_mid_stator1_task_67.json,.\data\task_67\stator2\Mis_line1d_mid_stator2_task_67.json,.\data\task_67\stator3\Mis_line1d_mid_stator3_task_67.json,.\data\task_67\rotor1\ent_area2d_exit_rotor1_task_67.json,.\data\task_67\rotor2\ent_area2d_exit_rotor2_task_67.json,.\data\task_67\rotor3\ent_area2d_exit_rotor3_task_67.json,.\data\task_67\stator1\ent_area2d_exit_stator1_task_67.json,.\data\task_67\stator2\ent_area2d_exit_stator2_task_67.json,.\data\task_67\stator3\ent_area2d_exit_stator3_task_67.json
.\data\task_68,Design D 90% p2_130000,85.20143,46.79285,Design D,1.560864,0.9,DA,1.04,.\data\task_68\rotor1\Mis_line1d_mid_rotor1_task_68.json,.\data\task_68\rotor2\Mis_line1d_mid_rotor2_task_68.json,.\data\task_68\rotor3\Mis_line1d_mid_rotor3_task_68.json,.\data\task_68\stator1\Mis_line1d_mid_stator1_task_68.json,.\data\task_68\stator2\Mis_line1d_mid_stator2_task_68.json,.\data\task_68\stator3\Mis_line1d_mid_stator3_task_68.json,.\data\task_68\rotor1\ent_area2d_exit_rotor1_task_68.json,.\data\task_68\rotor2\ent_area2d_exit_rotor2_task_68.json,.\data\task_68\rotor3\ent_area2d_exit_rotor3_task_68.json,.\data\task_68\stator1\ent_area2d_exit_stator1_task_68.json,.\data\task_68\stator2\ent_area2d_exit_stator2_task_68.json,.\data\task_68\stator3\ent_area2d_exit_stator3_task_68.json
.\data\task_69,Design D 90% p2_140000,89.68886,46.3638,Design D,1.636113,0.9,GAC,0.96,.\data\task_69\rotor1\Mis_line1d_mid_rotor1_task_69.json,.\data\task_69\rotor2\Mis_line1d_mid_rotor2_task_69.json,.\data\task_69\rotor3\Mis_line1d_mid_rotor3_task_69.json,.\data\task_69\stator1\Mis_line1d_mid_stator1_task_69.json,.\data\task_69\stator2\Mis_line1d_mid_stator2_task_69.json,.\data\task_69\stator3\Mis_line1d_mid_stator3_task_69.json,.\data\task_69\rotor1\ent_area2d_exit_rotor1_task_69.json,.\data\task_69\rotor2\ent_area2d_exit_rotor2_task_69.json,.\data\task_69\rotor3\ent_area2d_exit_rotor3_task_69.json,.\data\task_69\stator1\ent_area2d_exit_stator1_task_69.json,.\data\task_69\stator2\ent_area2d_exit_stator2_task_69.json,.\data\task_69\stator3\ent_area2d_exit_stator3_task_69.json
.\data\task_70,Design D 90% p2_150000,91.58084,45.32209,Design D,1.71151,0.9,DA,1,.\data\task_70\rotor1\Mis_line1d_mid_rotor1_task_70.json,.\data\task_70\rotor2\Mis_line1d_mid_rotor2_task_70.json,.\data\task_70\rotor3\Mis_line1d_mid_rotor3_task_70.json,.\data\task_70\stator1\Mis_line1d_mid_stator1_task_70.json,.\data\task_70\stator2\Mis_line1d_mid_stator2_task_70.json,.\data\task_70\stator3\Mis_line1d_mid_stator3_task_70.json,.\data\task_70\rotor1\ent_area2d_exit_rotor1_task_70.json,.\data\task_70\rotor2\ent_area2d_exit_rotor2_task_70.json,.\data\task_70\rotor3\ent_area2d_exit_rotor3_task_70.json,.\data\task_70\stator1\ent_area2d_exit_stator1_task_70.json,.\data\task_70\stator2\ent_area2d_exit_stator2_task_70.json,.\data\task_70\stator3\ent_area2d_exit_stator3_task_70.json
.\data\task_71,Design D 90% p2_160000,92.66448,43.92887,Design D,1.788233,0.9,GAC,1.04,.\data\task_71\rotor1\Mis_line1d_mid_rotor1_task_71.json,.\data\task_71\rotor2\Mis_line1d_mid_rotor2_task_71.json,.\data\task_71\rotor3\Mis_line1d_mid_rotor3_task_71.json,.\data\task_71\stator1\Mis_line1d_mid_stator1_task_71.json,.\data\task_71\stator2\Mis_line1d_mid_stator2_task_71.json,.\data\task_71\stator3\Mis_line1d_mid_stator3_task_71.json,.\data\task_71\rotor1\ent_area2d_exit_rotor1_task_71.json,.\data\task_71\rotor2\ent_area2d_exit_rotor2_task_71.json,.\data\task_71\rotor3\ent_area2d_exit_rotor3_task_71.json,.\data\task_71\stator1\ent_area2d_exit_stator1_task_71.json,.\data\task_71\stator2\ent_area2d_exit_stator2_task_71.json,.\data\task_71\stator3\ent_area2d_exit_stator3_task_71.json
.\data\task_72,Design D 90% p2_170000,93.06512,42.05704,Design D,1.865714,0.9,DA,0.96,.\data\task_72\rotor1\Mis_line1d_mid_rotor1_task_72.json,.\data\task_72\rotor2\Mis_line1d_mid_rotor2_task_72.json,.\data\task_72\rotor3\Mis_line1d_mid_rotor3_task_72.json,.\data\task_72\stator1\Mis_line1d_mid_stator1_task_72.json,.\data\task_72\stator2\Mis_line1d_mid_stator2_task_72.json,.\data\task_72\stator3\Mis_line1d_mid_stator3_task_72.json,.\data\task_72\rotor1\ent_area2d_exit_rotor1_task_72.json,.\data\task_72\rotor2\ent_area2d_exit_rotor2_task_72.json,.\data\task_72\rotor3\ent_area2d_exit_rotor3_task_72.json,.\data\task_72\stator1\ent_area2d_exit_stator1_task_72.json,.\data\task_72\stator2\ent_area2d_exit_stator2_task_72.json,.\data\task_72\stator3\ent_area2d_exit_stator3_task_72.json
.\data\task_73,Design D 80% p2_90000,64.11477,42.08138,Design D,1.256972,0.8,GAC,1,.\data\task_73\rotor1\Mis_line1d_mid_rotor1_task_73.json,.\data\task_73\rotor2\Mis_line1d_mid_rotor2_task_73.json,.\data\task_73\rotor3\Mis_line1d_mid_rotor3_task_73.json,.\data\task_73\stator1\Mis_line1d_mid_stator1_task_73.json,.\data\task_73\stator2\Mis_line1d_mid_stator2_task_73.json,.\data\task_73\stator3\Mis_line1d_mid_stator3_task_73.json,.\data\task_73\rotor1\ent_area2d_exit_rotor1_task_73.json,.\data\task_73\rotor2\ent_area2d_exit_rotor2_task_73.json,.\data\task_73\rotor3\ent_area2d_exit_rotor3_task_73.json,.\data\task_73\stator1\ent_area2d_exit_stator1_task_73.json,.\data\task_73\stator2\ent_area2d_exit_stator2_task_73.json,.\data\task_73\stator3\ent_area2d_exit_stator3_task_73.json
.\data\task_74,Design D 80% p2_100000,69.91325,42.07336,Design D,1.296253,0.8,DA,1.04,.\data\task_74\rotor1\Mis_line1d_mid_rotor1_task_74.json,.\data\task_74\rotor2\Mis_line1d_mid_rotor2_task_74.json,.\data\task_74\rotor3\Mis_line1d_mid_rotor3_task_74.json,.\data\task_74\stator1\Mis_line1d_mid_stator1_task_74.json,.\data\task_74\stator2\Mis_line1d_mid_stator2_task_74.json,.\data\task_74\stator3\Mis_line1d_mid_stator3_task_74.json,.\data\task_74\rotor1\ent_area2d_exit_rotor1_task_74.json,.\data\task_74\rotor2\ent_area2d_exit_rotor2_task_74.json,.\data\task_74\rotor3\ent_area2d_exit_rotor3_task_74.json,.\data\task_74\stator1\ent_area2d_exit_stator1_task_74.json,.\data\task_74\stator2\ent_area2d_exit_stator2_task_74.json,.\data\task_74\stator3\ent_area2d_exit_stator3_task_74.json
.\data\task_75,Design D 80% p2_110000,79.30642,42.04916,Design D,1.352819,0.8,GAC,0.96,.\data\task_75\rotor1\Mis_line1d_mid_rotor1_task_75.json,.\data\task_75\rotor2\Mis_line1d_mid_rotor2_task_75.json,.\data\task_75\rotor3\Mis_line1d_mid_rotor3_task_75.json,.\data\task_75\stator1\Mis_line1d_mid_stator1_task_75.json,.\data\task_75\stator2\Mis_line1d_mid_stator2_task_75.json,.\data\task_75\stator3\Mis_line1d_mid_stator3_task_75.json,.\data\task_75\rotor1\ent_area2d_exit_rotor1_task_75.json,.\data\task_75\rotor2\ent_area2d_exit_rotor2_task_75.json,.\data\task_75\rotor3\ent_area2d_exit_rotor3_task_75.json,.\data\task_75\stator1\ent_area2d_exit_stator1_task_75.json,.\data\task_75\stator2\ent_area2d_exit_stator2_task_75.json,.\data\task_75\stator3\ent_area2d_exit_stator3_task_75.json
.\data\task_76,Design D 80% p2_120000,86.25673,41.59515,Design D,1.41659,0.8,DA,1,.\data\task_76\rotor1\Mis_line1d_mid_rotor1_task_76.json,.\data\task_76\rotor2\Mis_line1d_mid_rotor2_task_76.json,.\data\task_76\rotor3\Mis_line1d_mid_rotor3_task_76.json,.\data\task_76\stator1\Mis_line1d_mid_stator1_task_76.json,.\data\task_76\stator2\Mis_line1d_mid_stator2_task_76.json,.\data\task_76\stator3\Mis_line1d_mid_stator3_task_76.json,.\data\task_76\rotor1\ent_area2d_exit_rotor1_task_76.json,.\data\task_76\rotor2\ent_area2d_exit_rotor2_task_76.json,.\data\task_76\rotor3\ent_area2d_exit_rotor3_task_76.json,.\data\task_76\stator1\ent_area2d_exit_stator1_task_76.json,.\data\task_76\stator2\ent_area2d_exit_stator2_task_76.json,.\data\task_76\stator3\ent_area2d_exit_stator3_task_76.json
.\data\task_77,Design D 80% p2_130000,90.26047,40.50682,Design D,1.4879,0.8,GAC,1.04,.\data\task_77\rotor1\Mis_line1d_mid_rotor1_task_77.json,.\data\task_77\rotor2\Mis_line1d_mid_rotor2_task_77.json,.\data\task_77\rotor3\Mis_line1d_mid_rotor3_task_77.json,.\data\task_77\stator1\Mis_line1d_mid_stator1_task_77.json,.\data\task_77\stator2\Mis_line1d_mid_stator2_task_77.json,.\data\task_77\stator3\Mis_line1d_mid_stator3_task_77.json,.\data\task_77\rotor1\ent_area2d_exit_rotor1_task_77.json,.\data\task_77\rotor2\ent_area2d_exit_rotor2_task_77.json,.\data\task_77\rotor3\ent_area2d_exit_rotor3_task_77.json,.\data\task_77\stator1\ent_area2d_exit_stator1_task_77.json,.\data\task_77\stator2\ent_area2d_exit_stator2_task_77.json,.\data\task_77\stator3\ent_area2d_exit_stator3_task_77.json
.\data\task_78,Design D 80% p2_140000,92.27841,38.93409,Design D,1.561545,0.8,DA,0.96,.\data\task_78\rotor1\Mis_line1d_mid_rotor1_task_78.json,.\data\task_78\rotor2\Mis_line1d_mid_rotor2_task_78.json,.\data\task_78\rotor3\Mis_line1d_mid_rotor3_task_78.json,.\data\task_78\stator1\Mis_line1d_mid_stator1_task_78.json,.\data\task_78\stator2\Mis_line1d_mid_stator2_task_78.json,.\data\task_78\stator3\Mis_line1d_mid_stator3_task_78.json,.\data\task_78\rotor1\ent_area2d_exit_rotor1_task_78.json,.\data\task_78\rotor2\ent_area2d_exit_rotor2_task_78.json,.\data\task_78\rotor3\ent_area2d_exit_rotor3_task_78.json,.\data\task_78\stator1\ent_area2d_exit_stator1_task_78.json,.\data\task_78\stator2\ent_area2d_exit_stator2_task_78.json,.\data\task_78\stator3\ent_area2d_exit_stator3_task_78.json
